Date,IPv4 (size),IPv6 (size)
00:00,12292864,23117957
01:00,525876186,16482684
02:00,244074696,11865267
03:00,8148622,15633984
04:00,1317208721,13394955
05:00,7496053,9761626
06:00,8102628,19361306
07:00,157512200,24864725
08:00,7127013,12658718
09:00,120631705,376
10:00,547777277,188
11:00,505735537,188
12:00,2436451128,188
13:00,19896257,188
14:00,624686137,188
15:00,318811474,0
16:00,2757074,0
17:00,0,0
18:00,0,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,6731181,856213
23:00,45341484,21914239
